row_type,t_abs,t_rel,seq,frame_idx,landmark_id,gx,gy,gz,ax,ay,az,bgx,bgy,bgz,bax,bay,baz,u_norm,v_norm,key,value
meta,,,,,,,,,,,,,,,,,,,,format_version,1
meta,,,,,,,,,,,,,,,,,,,,measurement_space,normalized
meta,,,,,,,,,,,,,,,,,,,,source_mode,asl
meta,,,,,,,,,,,,,,,,,,,,dataset_path,/home/terra/dev/Research/borglab/vicon_room1/V1_01_easy/V1_01_easy/
meta,,,,,,,,,,,,,,,,,,,,duration_sec,30
meta,,,,,,,,,,,,,,,,,,,,t0_abs,1403715273.2621431
meta,,,,,,,,,,,,,,,,,,,,eqf.coordinate_choice,InvDepth
meta,,,,,,,,,,,,,,,,,,,,eqf.fast_riccati,1
meta,,,,,,,,,,,,,,,,,,,,eqf.use_discrete_state_matrix,0
meta,,,,,,,,,,,,,,,,,,,,eqf.use_discrete_velocity_lift,1
meta,,,,,,,,,,,,,,,,,,,,eqf.use_discrete_innovation_lift,0
meta,,,,,,,,,,,,,,,,,,,,eqf.use_equivariant_output,1
meta,,,,,,,,,,,,,,,,,,,,eqf.remove_lost_landmarks,1
meta,,,,,,,,,,,,,,,,,,,,eqf.use_median_depth,0
meta,,,,,,,,,,,,,,,,,,,,eqf.initial_point_depth,5.0002821832024296
meta,,,,,,,,,,,,,,,,,,,,eqf.initial_point_variance,129.90415638150924
meta,,,,,,,,,,,,,,,,,,,,eqf.outlier_threshold_abs,4.8521866655803123
meta,,,,,,,,,,,,,,,,,,,,eqf.outlier_threshold_prob,0.032298095830621279
meta,,,,,,,,,,,,,,,,,,,,eqf.feature_retention,0.18594708334486176
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_bias_omega,0
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_bias_accel,0
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_attitude,6.0258753208114069e-05
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_position,9.9814660959284832e-06
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_velocity,0.025317333863551263
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_cam_attitude,5.0753821740452388e-06
meta,,,,,,,,,,,,,,,,,,,,eqf.process_var_cam_position,1.2188313140115635e-05
