Time,X,Y,Z
46534.478375790000428,-6.8269361350059405424,-11.868164241239471224,0.040306091310000624617
46537.38795533299708,3.8971155017667178377,7.5450738511330808223,0.024787902829999097776
46538.387785225997504,8.0788576534581366673,15.642043936442718177,0.029815673830000832822
46539.387627609001356,12.549835136527262236,24.282061417275254911,0.12959289551000097163
46540.387861144001363,16.916268020014168627,32.965313321824140758,0.17036437987999875077
46541.387441509999917,21.110495107325409236,41.307725695796385423,0.1901092529300001388
46542.387289405996853,24.967605701539053342,49.088624444953225634,0.18263244629000041641
46543.387175550000393,28.175451591166300602,55.75123069655832353,0.20228576659999930598
46544.387120519000746,30.645928711583753312,60.88509197772614101,0.33600616454999965299
46545.387070969001797,32.999440612836473008,64.756789569115412064,0.36680603026999847316
46546.386845968998387,36.225388777185081324,66.928413595217421062,0.32826995848999729333
46547.386768579999625,39.969936804402195207,66.914223675426654836,0.25498962401999847316
46548.386642792997009,43.944171431156043184,65.488178239633043631,0.20771789551000097163
46549.386515313999553,48.783812177427734014,62.913791251010913186,0.17237091063999798735
46550.386426851997385,54.930451386218400955,59.475235894180208618,0.12875366211000027761
46551.386317910000798,61.907719510021202325,55.889377364956075667,0.16490936278999868136
46552.386167971999384,68.774466715490333968,52.212114904807641835,0.23799896239999895897
46553.386068874002376,74.987299794425581467,48.118904667819712984,0.27249908446999882017
46554.388508882002498,80.203916800328471481,44.1225319993418168,0.30536651610999854256
46555.385842474999663,84.527286237801490643,41.378584631074389222,0.36229705809999757093
46556.385725270003604,88.892287955578325409,40.63279437462700372,0.40191650389999722393
46557.385595548003039,92.680525268955207707,42.612670478896809811,0.45742034911999951419
46558.385481254001206,96.182434224700728009,46.217038904063642235,0.39232635497999979179
46559.385400207000202,100.46524320252837015,50.573042441936983948,0.39536285399999826495
46560.385274576001393,105.47834962112023049,55.686008173637645768,0.39558410643999764034
46561.385144193998713,110.99233621958052254,61.568390250881563475,0.41084289551000097163
46562.385083227003634,116.77326171673885824,67.592593421237040729,0.40345001221000131864
46563.384906683997542,122.46240829395669891,73.329952868524358678,0.41539001465000069402
46564.384892608002701,127.82117525030297145,79.050095968931429979,0.36444091797000055521
46565.384727712000313,132.82963723443151594,85.019421224026956452,0.32965087889999722393
46566.384613756003091,137.47309283513635592,91.396595189990549102,0.28655242920000034701
46567.384450454999751,141.80200455453288555,98.058271223630654845,0.18151855469000111043
46568.385137423996639,145.85611449469800505,105.05195028402231117,0.098045349119999514187
46569.384279846002755,149.6763828284636304,112.31255406650645057,0.014762878420000902224
46570.384106564997637,153.38740789762820782,119.55416873237690822,0.043121337889999722393
46571.384054293099325,156.66408826558361511,126.081349276849636,-0.018473760163843166993
46572.383983459396404,159.74333207938349233,132.17376438000738403,-0.084361253309467088002
46573.383855818996381,162.87674964757272278,137.59566764018197205,-0.065246582029999444785
46574.383745471001021,166.10057263307433573,143.18553836043736283,-0.10613250733000256787
