%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
117735250000,11048,117735250000,RH_EXTIMU,2.2932715788e-06,1.53196171221e-05,-0.703285780478,0.71090724482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19800998937e-07,-8.13380203893e-09,-7.22038459104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000245457587107,-0.000181612558247,9.8100077031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117737750000,11049,117737750000,RH_EXTIMU,2.29313402886e-06,1.53196621872e-05,-0.70328584464,0.710907181346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0268029415e-07,-5.10996651005e-08,-7.22029453453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000246233372419,-0.00017714749759,9.81001157075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117737750000,11050,117740250000,RH_EXTIMU,2.29307998339e-06,1.53197209386e-05,-0.703285908801,0.710907117872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.28894961166e-08,3.66612768662e-09,-7.22022488535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244992819707,-0.000178649476366,9.80999936342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117742750000,11051,117742750000,RH_EXTIMU,2.29322015822e-06,1.531966497e-05,-0.703285972962,0.710907054399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12113343221e-07,4.76958204019e-08,-7.22016100777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244525990158,-0.000181660653484,9.80999679571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117745250000,11052,117745250000,RH_EXTIMU,2.293183196e-06,1.53196615055e-05,-0.703286037122,0.710906990927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81693540833e-08,-2.21061727875e-08,-7.22009336014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000246087327017,-0.000178542674556,9.80998704598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117747750000,11053,117747750000,RH_EXTIMU,2.29329139507e-06,1.53195613238e-05,-0.703286101282,0.710906927455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18803441961e-07,4.56022684731e-09,-7.22002706405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244808220716,-0.000181947765531,9.81000178509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117750250000,11054,117750250000,RH_EXTIMU,2.29320463572e-06,1.53195684906e-05,-0.703286165441,0.710906863984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24717115333e-08,-4.40772440141e-08,-7.21995169286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000246213828915,-0.000178047842864,9.80999242585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117750250000,11055,117752750000,RH_EXTIMU,2.2932913045e-06,1.53195007692e-05,-0.703286229599,0.710906800514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82954801468e-08,1.09076674284e-08,-7.21985776802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024522225298,-0.000180891416039,9.81003509629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117755250000,11056,117755250000,RH_EXTIMU,2.29309344794e-06,1.53196727566e-05,-0.703286293756,0.710906737044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08388404483e-07,-1.28460937909e-08,-7.21977440579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000245213461921,-0.000175906863484,9.81000608935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117757750000,11057,117757750000,RH_EXTIMU,2.29316299034e-06,1.53196814379e-05,-0.703286357913,0.710906673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55688884737e-08,4.47240318075e-08,-7.21971848869e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244776732528,-0.000180521462445,9.80998867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117762750000,11058,117760250000,RH_EXTIMU,2.29329336854e-06,1.53195824688e-05,-0.703286422069,0.710906610106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30734970339e-07,1.77285196194e-08,-7.21965870892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244880811467,-0.00018178797353,9.80998622901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117762750000,11059,117762750000,RH_EXTIMU,2.29346102476e-06,1.53194455635e-05,-0.703286486225,0.710906546638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73279948265e-07,1.71269066204e-08,-7.21959389915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000245332844923,-0.000182313647277,9.80999880236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117765250000,11060,117765250000,RH_EXTIMU,2.29328861395e-06,1.53194931639e-05,-0.70328655038,0.710906483171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.23933033463e-07,-6.92717073101e-08,-7.21950602553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000246438505825,-0.000176454593377,9.81000353275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117767750000,11061,117767750000,RH_EXTIMU,2.2932347149e-06,1.53195711494e-05,-0.703286614534,0.710906419704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.36279925846e-08,1.46872759233e-08,-7.21944124447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000244868756476,-0.000178376840913,9.80999213137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
